,0
0,丁郎
1,三春
2,严老爷
3,丰儿
4,临安伯
5,乌木做
7,云儿
8,云光
9,守备
10,京兆尹
12,代儒
15,李纨
16,何三
17,琏
18,佳蕙
20,倪二
22,倪二娘子
23,元春
26,兰哥儿
29,冯公子
31,冯唐
34,冯将军
35,冯渊
36,冯紫英
38,冯胖子
39,冷子兴
41,凤丫头
42,凤哥儿
43,凤姐
44,凤姐儿
61,凤姐姐
62,凤姑娘
64,刘二当衣
65,刘亲家
66,刘姥姥
67,刘氏
68,刘邦
69,刘铁嘴
70,包勇
77,北静王
79,单聘仁
80,卜固修
81,占花魁
82,史侯
84,史大妹妹
85,史大姑娘
86,史姑娘
87,史湘云
88,史老太君
89,叶妈
90,司棋
94,司马相如
95,向宁
96,向宝玉
97,吴兴家
99,吴巡抚
100,吴新登
101,吴贵家
103,周大娘
104,周姨娘
106,周母
107,周瑞
112,周管家
113,唐伯虎
114,唐多令
115,四儿
116,四姑奶奶
117,圆信
118,士隐
127,夏太监
128,夏妈
129,夏子
131,夏母
133,夏秉忠
135,妙公
136,妙玉
141,子兴
144,孔梅溪
148,孙家祖上
150,孙绍祖
151,孟光
152,学里先生
153,宁公
155,宁国公
159,宋妈
161,宋嬷嬷
162,宋江
164,宝二叔
165,宝二爷
166,宝兄弟
167,宝哥哥
168,宝姐姐
169,宝玉
192,贾母
196,巧姐儿
210,张道士
232,玉钏儿
233,袭人
247,宝琴
249,封氏
250,封肃
255,小旦
256,小旦龄官
257,小王在世翁
258,小童
259,小红
263,尤三姐
265,尤二姐
266,尤姥娘
267,尤氏
272,岫烟
273,崔莺莺
274,崔颢
275,平儿
276,平姑娘
277,庄子
278,庄子文
280,张华
284,张友士
285,张大老爷
286,张妈
290,张德辉
291,张材
292,张法官
293,张财主
294,张道士
297,惜春
301,惠明
302,戴权
305,抚琴
307,探春
314,政公
318,旺儿
319,旺儿媳妇
321,明太太
322,春燕
323,昭儿
324,昭容
326,晴雯
328,曹唐
330,曾祖
332,李先儿
334,李奶子
335,李妈
336,李婶娘
337,李嬷嬷
338,李守中
340,李纨
351,李纹
352,李绮
353,李老太太
354,李贵
356,李贵迎
357,李逵
360,杨国忠
361,杨贵妃
363,板儿
366,林丫头
367,林之孝
373,林四娘
374,林奶奶
375,林如海
378,林妹妹
379,林姐儿
380,林姐夫
381,林姐姐
382,林姑娘
383,林姑爷
384,林姑老爷
390,林海
392,林黛玉
393,柳嫂
397,柳湘莲
398,薛蟠
400,梁鸿案
401,梅翰林
404,毕大夫
405,毕知庵
407,水溶
416,湘云
417,湘莲
419,潇湘妃子
421,潘又安
424,焦大
430,熙凤
432,玉钏儿
435,玉钏儿母亲
438,王二公
439,王仁
441,王八羔子
442,王公子
443,王善保
444,王大夫
445,王太医
447,王夫人
457,王嬷嬷
458,王子腾
463,王尔调
464,王成
466,王熙凤
470,环哥儿
471,环老三
472,珍
473,珍大哥
474,珍大嫂子
475,珍大爷
476,琏
477,琏二奶奶
478,琏嫂子
480,甄士隐
482,甄太太
483,甄宝玉
486,甄应嘉
487,甄爷
488,甄老爷
489,田家
490,白海棠
491,石呆子
493,秋桐
495,秋纹
496,秦业
498,秦可卿
501,秦少游
502,秦氏
505,秦相公
506,秦钟
513,秦钟并尤氏
518,程日兴
519,空空说
520,紫英
521,经云儿
522,给宁
524,绣橘
527,翠缕
529,老刘
530,老叶妈
531,老宁国公
533,胡大夫
535,艾官
536,花大姐姐
537,花自芳
538,芳官
541,英莲
542,茜雪
544,荣二祖
545,荣公死后
546,荣国公
549,莺儿
551,蒋玉菡
552,蓉哥儿
553,蓼汀
554,蔷
555,蔺相如
557,薛公子
558,薛姨妈
559,薛姨妈家
563,薛母
564,薛蝌
566,薛蟠
572,薛蟠回来
600,虞姬
601,蝉儿
603,袭人
605,詹光
607,讼宜和
610,费婆子
611,贺喜
613,贾不假
614,贾代儒
616,贾兰
624,贾名化
625,贾大人
627,贾娘娘
628,贾宝玉
637,贾政
653,甄老爷
682,秦晋之
712,贾敏
713,贾敬
722,贾母
737,贾兰
776,贾母问
779,贾环
788,贾珍
810,贾珠
812,贾琏
819,贾琮
820,贾瑞
830,贾芸
838,贾蓉
850,贾蔷
853,贾赦
867,贾雨村
871,赖二
872,赖升
876,赖大
887,赖尚荣
888,赖管家
890,赵全
895,赵国基
896,赵堂官
898,赵姨娘
903,赵嬷嬷
904,赵飞燕
905,迎春
909,邢夫人
912,邢岫烟
913,邢德全
915,邢舅太爷
917,郑华
918,郭子仪
919,金桂
925,金钏儿
926,钟繇
928,长安守备
929,阎王
933,雨村
934,雨村兄
944,雪雁
948,霍启
949,英莲
950,香菱
951,马道婆
952,宝二爷
953,高明
955,鲍二
956,鲍二一房
959,鲸卿
961,黄妈
962,黄鹰
964,黛玉
1030,龄官
