"","文中名字","标准姓名"
"1","艾官",NA
"2","白海棠",NA
"3","板儿",NA
"4","包勇",NA
"5","宝钗","薛宝钗"
"6","宝二叔",NA
"7","宝二爷","贾宝玉"
"8","宝哥哥","贾宝玉"
"9","宝姐姐","薛宝钗"
"10","宝琴","薛宝琴"
"11","宝兄弟","贾宝玉"
"12","宝玉","贾宝玉"
"13","鲍二",NA
"14","北静王",NA
"15","毕大夫",NA
"16","毕知庵",NA
"17","卜固修",NA
"18","曹唐",NA
"19","曾祖",NA
"20","蝉儿",NA
"21","程日兴",NA
"22","春燕",NA
"23","崔颢",NA
"24","崔莺莺",NA
"25","翠缕",NA
"26","代儒",NA
"27","戴权",NA
"28","黛玉","林黛玉"
"29","单聘仁",NA
"30","丁郎",NA
"31","芳官","芳官"
"32","费婆子",NA
"33","丰儿",NA
"34","封氏",NA
"35","封肃","封肃"
"36","冯公子",NA
"37","冯将军",NA
"38","冯胖子",NA
"39","冯唐",NA
"40","冯渊",NA
"41","冯紫英",NA
"42","凤哥儿","王熙凤"
"43","凤姑娘","王熙凤"
"44","凤姐","王熙凤"
"45","凤姐儿","王熙凤"
"46","凤姐姐","王熙凤"
"47","凤丫头","王熙凤"
"48","抚琴","抚琴"
"49","高明",NA
"50","给宁",NA
"51","郭子仪",NA
"52","何三",NA
"53","胡大夫",NA
"54","花大姐姐",NA
"55","花自芳",NA
"56","环哥儿","贾环"
"57","环老三","贾环"
"58","黄妈",NA
"59","黄鹰",NA
"60","惠明",NA
"61","霍启",NA
"62","佳蕙",NA
"63","贾宝玉","贾宝玉"
"64","贾不假",NA
"65","贾琮","贾琮"
"66","贾代儒",NA
"67","贾环","贾环"
"68","贾敬","贾敬"
"69","贾兰","贾兰"
"70","贾琏","贾琏"
"71","贾敏","贾敏"
"72","贾母","贾母"
"73","贾娘娘",NA
"74","贾蔷","贾蔷"
"75","贾蓉","贾蓉"
"76","贾瑞","贾瑞"
"77","贾赦","贾赦"
"78","贾雨村","贾雨村"
"79","贾芸","贾芸"
"80","贾珍","贾珍"
"81","贾政","贾政"
"82","贾珠","贾珠"
"83","蒋玉菡","蒋玉菡"
"84","焦大",NA
"85","金钏儿","金钏儿"
"86","金桂",NA
"87","京兆尹",NA
"88","经云儿",NA
"89","鲸卿",NA
"90","孔梅溪",NA
"91","赖大","赖大"
"92","赖二",NA
"93","赖管家",NA
"94","赖尚荣","赖尚荣"
"95","赖升",NA
"96","兰哥儿","贾兰"
"97","老刘",NA
"98","老宁国公","贾演"
"99","老叶妈",NA
"100","冷子兴","冷子兴"
"101","李贵","李贵"
"102","李逵",NA
"103","李老太太",NA
"104","李妈",NA
"105","李嬷嬷","李嬷嬷"
"106","李奶子",NA
"107","李绮",NA
"108","李婶娘",NA
"109","李守中",NA
"110","李纨","李纨"
"111","李纹",NA
"112","李先儿",NA
"113","琏","贾琏"
"114","琏二奶奶","王熙凤"
"115","琏嫂子","王熙凤"
"116","梁鸿案",NA
"117","蓼汀",NA
"118","林黛玉","林黛玉"
"119","林姑老爷",NA
"120","林姑娘","林黛玉"
"121","林姑爷",NA
"122","林海",NA
"123","林姐儿","林黛玉"
"124","林姐夫",NA
"125","林姐姐","林黛玉"
"126","林妹妹","林黛玉"
"127","林奶奶",NA
"128","林如海","林如海"
"129","林四娘",NA
"130","林丫头","林黛玉"
"131","林之孝","林之孝"
"132","临安伯",NA
"133","蔺相如",NA
"134","龄官","龄官"
"135","刘姥姥","刘姥姥"
"136","刘亲家",NA
"137","刘氏",NA
"138","刘铁嘴",NA
"139","柳嫂",NA
"140","柳湘莲","柳湘莲"
"141","马道婆","马道婆"
"142","梅翰林",NA
"143","孟光",NA
"144","妙公",NA
"145","妙玉","妙玉"
"146","明太太",NA
"147","倪二",NA
"148","倪二娘子",NA
"149","宁公",NA
"150","宁国公","贾演"
"151","潘又安",NA
"152","平儿","平儿"
"153","平姑娘","平儿"
"154","茜雪",NA
"155","蔷","贾蔷"
"156","巧姐儿","巧姐"
"157","秦晋之",NA
"158","秦可卿","秦可卿"
"159","秦少游",NA
"160","秦氏",NA
"161","秦相公",NA
"162","秦邦业","秦邦业"
"163","秦钟","秦钟"
"164","晴雯","晴雯"
"165","秋桐","秋桐"
"166","秋纹","秋纹"
"167","荣二祖","贾源"
"168","荣公","贾源"
"169","荣国公","贾源"
"170","蓉哥儿","贾蓉"
"171","石呆子",NA
"172","史大姑娘","史湘云"
"173","史大妹妹","史湘云"
"174","史姑娘","史湘云"
"175","史侯",NA
"176","史老太君",NA
"177","史湘云","史湘云"
"178","士隐","甄士隐"
"179","司马相如",NA
"180","司棋","司棋"
