name1,name2,weight
孟光,薛宝钗,1
甄英莲,薛公子,1
薛蟠,贾蓉,2
史湘云,邢夫人,1
平儿,赖大,2
包勇,甄老爷,3
封肃,贾雨村,2
冯公子,甄英莲,1
子兴,宁公,1
秋桐,邢夫人,1
贾元春,贾赦,1
李纨,贾政,2
贾政,贾演,1
刘姥姥,香菱,1
冯唐,冯紫英,1
薛宝钗,邢岫烟,5
贾宝玉,贾迎春,3
周瑞,平儿,7
贾母,雪雁,6
甄士隐,贾雨村,8
林黛玉,贾芸,1
甄太太,贾兰,1
云儿,林黛玉,1
刘姥姥,平儿,12
王二公,薛蟠,1
贾琏,贾蓉,11
薛蝌,金桂,3
史侯,李婶娘,1
袭人,贾宝玉,165
甄宝玉,贾政,3
王夫人,贾惜春,2
卜固修,赖管家,1
小红,贾芸,1
王熙凤,薛姨妈,7
史老太君,贾元春,1
子兴,王夫人,1
柳湘莲,王夫人,1
夏子,贾琏,1
甄英莲,霍启,2
妙玉,贾宝玉,8
毕知庵,贾宝玉,1
周姨娘,王夫人,1
石呆子,贾蓉,1
林之孝,王熙凤,3
史湘云,薛姨妈,3
贾宝玉,贾环,15
赵姨娘,邢夫人,1
李绮,贾惜春,1
向宝玉,贾母,1
尤氏,贾母,14
贾琏,贾蔷,10
尤二姐,秋桐,1
巧姐,贾蔷,1
子兴,贾雨村,1
薛姨妈,贾元春,2
袭人,贾芸,4
史湘云,薛宝钗,19
抚琴,贾宝玉,3
平儿,贾芸,1
王夫人,莺儿,1
贾宝玉,贾雨村,2
王夫人,贾珍,5
包勇,贾政,5
柳嫂,芳官,1
柳湘莲,贾宝玉,7
王熙凤,贾母,71
张德辉,薛蟠,4
贾代儒,贾宝玉,1
贾元春,贾宝玉,10
蓼汀,贾政,1
薛蟠,贾迎春,1
甄士隐,香菱,2
王熙凤,贾宝玉,60
张道士,林黛玉,2
平儿,鲍二,4
薛蟠,邢夫人,1
柳湘莲,薛姨妈,5
贾源,贾珠,1
秦钟,鲸卿,1
王夫人,薛姨妈,22
林姑老爷,林黛玉,1
柳嫂,贾迎春,1
张道士,贾宝玉,8
周瑞,香菱,1
贾兰,贾母,1
贾宝玉,赵飞燕,1
