"","人物1","人物2","关系","家族1","家族2"
"1","贾演","贾代化","父亲","贾家宁国府","贾家宁国府"
"2","贾代化","贾演","儿子","贾家宁国府","贾家宁国府"
"3","贾敬","贾代化","儿子","贾家宁国府","贾家宁国府"
"4","贾代化","贾敬","父亲","贾家宁国府","贾家宁国府"
"5","焦大","贾演","老奴","贾家宁国府","贾家宁国府"
"6","贾演","焦大","主人","贾家宁国府","贾家宁国府"
"7","贾珍","贾敬","儿子","贾家宁国府","贾家宁国府"
"8","贾敬","贾珍","父亲","贾家宁国府","贾家宁国府"
"9","尤氏","贾珍","妻","贾家宁国府","贾家宁国府"
"10","贾珍","尤氏","丈夫","贾家宁国府","贾家宁国府"
"11","佩凤","贾珍","妾","贾家宁国府","贾家宁国府"
"12","偕鸾","贾珍","妾","贾家宁国府","贾家宁国府"
"13","贾蓉","贾珍","儿子","贾家宁国府","贾家宁国府"
"14","贾珍","贾蓉","父亲","贾家宁国府","贾家宁国府"
"15","秦可卿","贾蓉","妻","贾家宁国府","贾家宁国府"
"16","贾蓉","秦可卿","丈夫","贾家宁国府","贾家宁国府"
"17","瑞珠","秦可卿","丫环","贾家宁国府","贾家宁国府"
"18","宝珠","秦可卿","丫环","贾家宁国府","贾家宁国府"
"19","入画","贾惜春","丫环","贾家宁国府","贾家宁国府"
"20","贾珍","贾惜春","父亲","贾家宁国府","贾家宁国府"
"21","贾惜春","贾珍","女儿","贾家宁国府","贾家宁国府"
"22","尤氏","贾惜春","母亲","贾家宁国府","贾家宁国府"
"23","贾惜春","尤氏","女儿","贾家宁国府","贾家宁国府"
"24","贾源","贾代善","父亲","贾家荣国府","贾家荣国府"
"25","贾演","贾源","兄弟","贾家宁国府","贾家荣国府"
"26","贾代善","贾源","儿子","贾家荣国府","贾家荣国府"
"27","贾母","贾代善","妻","史家","贾家荣国府"
"28","贾代善","贾母","丈夫","贾家荣国府","史家"
"29","贾代善","贾政","父亲","贾家荣国府","贾家荣国府"
"30","贾政","贾代善","儿子","贾家荣国府","贾家荣国府"
"31","贾代善","贾赦","父亲","贾家荣国府","贾家荣国府"
"32","贾赦","贾代善","儿子","贾家荣国府","贾家荣国府"
"33","贾赦","贾母","儿子","贾家荣国府","史家"
"34","贾母","贾赦","母亲","史家","贾家荣国府"
"35","邢夫人","贾赦","妻","贾家荣国府","贾家荣国府"
"36","贾赦","邢夫人","丈夫","贾家荣国府","贾家荣国府"
"37","邢夫人","贾母","大儿媳","贾家荣国府","史家"
"38","贾母","邢夫人","婆婆","史家","贾家荣国府"
"39","贾政","贾母","儿子","贾家荣国府","史家"
"40","王夫人","贾母","小儿媳","王家","史家"
"41","鸳鸯","贾母","丫头","贾家荣国府","史家"
"42","林如海","贾敏","丈夫","林家","贾家荣国府"
"43","贾敏","林如海","妻","贾家荣国府","林家"
"44","林如海","林黛玉","父亲","林家","林家"
"45","林黛玉","林如海","女儿","林家","林家"
"46","贾敏","林黛玉","母亲","贾家荣国府","林家"
"47","贾母","林黛玉","外祖母","史家","林家"
"48","林黛玉","贾母","外孙女","林家","史家"
"49","紫鹃","贾母","丫头","贾家荣国府","史家"
"50","雪雁","林黛玉","丫头","贾家荣国府","林家"
"51","王熙凤","邢夫人","儿媳","王家","贾家荣国府"
